label,message
1,someone has contacted our dating service and entered your phone because they fancy you to find out who it is call from a landline poboxntfp
0,goin to workout lor muz lose e fats
0,im turning off my phone my moms telling everyone i have cancer and my sister wont stop calling it hurts to talk cant put up with it see u when u get home love u
1,want the latest video handset anytime any network mins half price line rental reply or call for delivery tomorrow
0,send me yettys number pls
0,hey you around ive got enough for a half the ten i owe you
0,yeah just open chat and click friend lists then make the list easy as pie
0,also remember the beads dont come off ever
0,good evening sir hope you are having a nice day i wanted to bring it to your notice that i have been late in paying rent for the past few months and have had to pay a ltgt charge i felt it would be inconsiderate of me to nag about something you give at great cost to yourself and thats why i didnt speak up i however am in a recession and wont be able to pay the charge this month hence my askin well ahead of months end can you please help thank you for everything
1,sms auction you have won a nokia i this is what you get when you win our free auction to take part send nokia to now hgsuitelands rowwjhl
0,aight can you text me the address
0,they just talking thats it de they wont any other
1,private your account statement for xxxxxx shows unredeemed s i m points call identifier code expires
0,honeybee said im d sweetest in d world god laughed amp said waitu havnt met d person reading this msg moral even god can crack jokes gmgngegn
1,tddnewsletteremccouk more games from thedailydraw dear helen dozens of free games with great prizeswith
0,goodmorning today i am late for ltgt min
0,did u see what i posted on your facebook
0,mind blastin no more tsunamis will occur from now on rajnikant stopped swimming in indian oceand
0,my trip was ok but quite tiring lor uni starts today but its ok me cos im not taking any modules but jus concentrating on my final yr project
0,i love to cuddle i want to hold you in my strong arms right now
0,had the money issue weigh me down but thanks to you i can breathe easier now ill make sure you dont regret it thanks
0,from someone not to smoke when every time ive smoked in the last two weeks is because of you calling or texting me that you wanted to smoke
0,he is world famamus
0,did u got that persons story
0,havent stuck at orchard in my dads car going dinner now u leh so r they free tonight
0,damn poor zac doesnt stand a chance
0,hiya have u been paying money into my account if so thanks got a pleasant surprise when i checked my balance u c i dont get statements that acc
0,lol well dont do it without me we could have a big sale together
0,ok then r we meeting later
0,send me your id and password
0,no im in the same boat still here at my moms check me out on yo im half naked
0,i know you are serving i mean what are you doing now
0,lol what happens in vegas stays in vegas
0,yetunde im in class can you not run water on it to make it ok pls now
0,ok u can take me shopping when u get paid d
0,hey do you want anything to buy
0,discussed with your mother ah
0,try to do something dear you read something for exams
1,for ur chance to win a wkly shopping spree txt shop to tscs custcare xpwk
0,if you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
0,fuck babe i miss you already you know cant you let me send you some money towards your net i need you i want you i crave you
0,alrite sam its nic just checkin that this is ur numberso is ittb
0,k text me when youre on the way
1,win we have a winner mr t foley won an ipod more exciting prizes soon so keep an eye on ur mobile or visit
0,ki didt see youkwhere are you now
0,the word checkmate in chess comes from the persian phrase shah maat which means the king is dead goodmorning have a good day
0,no shoot me im in the docs waiting room
0,my new years eve was ok i went to a party with my boyfriend who is this si then hey
0,eh u send wrongly lar
0,i am late i will be there at
0,im meeting darren
0,we can make a baby in yo tho
0,cos i was out shopping wif darren jus now n i called him ask wat present he wan lor then he started guessing who i was wif n he finally guessed darren lor
0,babe how goes that day what are you doing where are you i sip my cappuccino and think of you my love i send a kiss to you from across the sea
0,aight will do thanks again for comin out
1,you are guaranteed the latests nokia phone a gb ipod mp player or a prize txt wordcollect to no tcllc nyusa pmt msgrcvd
0,jus finish blowing my hair u finish dinner already
0,i dont have her number and its gonna be a massive pain in the ass and id rather not get involved if thats possible
0,oh okie lorwe go on sat
0,am on a train back from northampton so im afraid not im staying skyving off today ho ho will be around wednesday though do you fancy the comedy club this week by the way
0,aight what time you want me to come up
1,dorothykiefercom bank of granite issues strongbuy explosive pick for our members up over nasdaq symbol cdgt that is a per
0,do thing change that sentence into because i want concentrate in my educational career im leaving here
0,yeah whatever lol
0,oi when you gonna ring
0,you call him now ok i said call him
0,i liked the new mobile
0,not course only maths one day one chapter with in one month we can finish
0,are you sure you dont mean get here
0,let me know how it changes in the next hrs it can even be appendix but you are out of that age range however its not impossible so just chill and let me know in hrs
0,its ok i wun b angry msg u aft i come home tonight
1,freemsg our records indicate you may be entitled to pounds for the accident you had to claim for free reply with yes to this msg to opt out text stop
0,the hair cream has not been shipped
1,freemessage jamsterget the crazy frog sound now for poly text mad for real text mad to crazy sounds for just gbpweek only tcs apply
0,nightswe nt staying at port step liaotoo ex
1,from lost help
0,neither in sterm voice im studying all fine with me not sure the thing will be resolved tho anyway have a fab hols
0,wow i love you sooo much you know i can barely stand it i wonder how your day goes and if you are well my love i think of you and miss you
0,hes an adult and would learn from the experience theres no real danger i just dont like peeps using drugs they dont need but no comment
0,macha dont feel upseti can assume your mindsetbelieve me one evening with me and i have some wonderful plans for both of uslet life begin againcall me anytime
0,yes please leave at ltgt so that at ltgt we can leave
0,cuz ibored and don wanna study
0,i always chat with you in fact i need money can you raise me
0,tyler getting an th has to leave not long after can you get here in like an hour
0,just arrived see you in a couple days lt
0,all e best ur driving tmr
